"","unique_project_names","latitudes","longitudes"
"378","MAYFAIR RESIDENCES","1.3096075","103.9143952"
"379","THE RED HOUSE","1.3052409","103.9036115"
"380","OCEAN PARK","1.3082583","103.9190238"
"381","THE SOUND","1.30994","103.9147999"
"382","SPRINGVALE","1.3129354","103.9246737"
"383","IVORY APARTMENTS","1.3101305","103.9157201"
"384","ROXY SQUARE","1.3032385","103.9048732"
"385","POSHGROVE EAST","1.3089953","103.9095724"
"386","UNITED MANSION","1.3111783","103.9213562"
"387","FINLAND GARDENS","1.3108429","103.9243577"
"388","AXIS @ SIGLAP","1.3116962","103.9239858"
"389","EASTWOOD GREEN","1.3228039","103.9561328"
"390","EASTWOOD CENTRE","1.2789227","103.8536113"
"391","LAGUNA 88","1.3222514","103.9586528"
"392","EASTWOOD REGENCY","1.3212516","103.957637"
"393","EASTWOOD LODGE","1.3207052","103.956934"
"394","FAIRMOUNT CONDOMINIUM","1.3208654","103.9561803"
"395","8 EDEN GROVE","1.3448628","103.8723082"
"396","EDEN VIEW","1.3442676","103.8725702"
"397","EDEN CREST","1.345174","103.8720364"
"398","THE AMORE","1.3991125","103.912776"
"399","RIVER ISLES","1.3969556","103.913411"
"400","THE TERRACE","1.4013996","103.9161238"
"401","WATERBAY","1.4010129","103.9080851"
"402","ELIAS GREEN","1.3709407","103.9416712"
"403","STRATUM","1.3793936","103.9429655"
"404","OASIS @ ELIAS","1.3773044","103.9414066"
"405","RIS GRANDEUR","1.3742486","103.939652"
"406","HILLVISTA","1.360079","103.7634999"
"407","ELLIOT AT THE EAST COAST","1.311235","103.9307748"
"408","EAST SIGNATURE","1.3121513","103.9317402"
"409","EMERALD HILL CONSERVATION AREA","1.3019155","103.8392077"
"410","TOP TEN","1.352083","103.819836"
"411","111 EMERALD HILL","1.3030712","103.8393188"
"412","ENG HOON MANSIONS","1.2836095","103.8344418"
"413","ENG KONG GREEN","1.3356643","103.7695327"
"414","ORCHID APARTMENTS","1.333802","103.79873"
"415","SKYSUITES@ANSON","1.2736152","103.8447006"
"416","ALTEZ","1.2745312","103.8442336"
"417","STRATA","1.3174026","103.844913"
"418","LION TOWERS","1.3165802","103.8452911"
"419","RESIDENCES @ EVELYN","1.3161297","103.8395006"
"420","D'EVELYN","1.3167594","103.8396603"
"421","SETIA RESIDENCES","1.3158998","103.8399791"
"422","EVELYN MANSIONS","1.316363","103.839249"
"423","GISBORNE LIGHT","1.3162606","103.8303892"
"424","EWE BOON REGENT","1.316514","103.8303997"
"425","PALM SPRING","1.316622","103.8315375"
"426","HALLMARK RESIDENCES","1.3160679","103.8308944"
"427","CHATEAU LE FAME","1.3167261","103.8293897"
"428","CLIFTEN","1.2848998","103.8478027"
"429","CHIVERTON","1.3173715","103.8291593"
"430","JUNIPER HILL","1.3166391","103.8298825"
"431","THE PRINCETON","1.3166639","103.8327272"
"432","FABER HILLS","1.3203983","103.7563561"
"433","FABER CREST","1.3237956","103.75751"
"434","WATERFRONT @ FABER","1.3232117","103.754716"
"435","SOMMERVILLE PARK","1.3125978","103.8060041"
"436","SOMMERVILLE GRANDEUR","1.3159154","103.8067123"
"437","POLLEN & BLEU",NA,NA
"438","GALLOP GABLES","1.3155602","103.8076756"
"439","SPANISH VILLAGE","1.3146386","103.8057072"
"440","THE LEVELZ","1.3135154","103.8047387"
"441","WATERFALL GARDENS","1.3120628","103.8047067"
"442","SUTTON PLACE","1.3134053","103.8055513"
"443","LUSH ACRES","1.3951533","103.8800223"
"444","RIVERTREES RESIDENCES","1.3937854","103.880661"
"445","RIVERBANK @ FERNVALE","1.3947464","103.8813246"
"446","THE TOPIARY","1.3880616","103.8722855"
"447","H2O RESIDENCES","1.3926887","103.8799407"
"448","HIGH PARK RESIDENCES","1.396412","103.8751347"
"449","PARC BOTANNIA","1.3983861","103.8749918"
"450","FERNWOOD TOWERS","1.3094741","103.9252364"
"451","FIFTH AVENUE CONDOMINIUM","1.330196","103.795899"
"452","SIGLAP V","1.3128468","103.9237342"
"453","PARC OLYMPIA","1.3555344","103.9658381"
"454","THE INFLORA","1.3560313","103.9662381"
"455","PALM ISLES","1.3565477","103.9642805"
"456","HEDGES PARK CONDOMINIUM","1.3550504","103.9672087"
"457","DAHLIA PARK CONDOMINIUM","1.3589382","103.9656743"
"458","CARISSA PARK CONDOMINIUM","1.3590921","103.963374"
"459","THE JOVELL","1.357973","103.9656846"
"460","FERRARIA PARK CONDOMINIUM","1.3579887","103.9641844"
"461","AZALEA PARK CONDOMINIUM","1.3604378","103.9627547"
"462","ESTELLA GARDENS","1.3600291","103.9670804"
"463","THE GALE","1.3587058","103.9670865"
"464","AVILA GARDENS","1.3608405","103.9657789"
"465","EDELWEISS PARK CONDOMINIUM","1.3571003","103.9680067"
"466","FIORENZA","1.3636781","103.8861155"
"467","THE FLORENTINE","1.3664194","103.8857363"
"468","HOA NAM BUILDING","1.3126996","103.8599433"
"469","TROPIKA EAST","1.328986","103.9067266"
"470","THE FORD @ HOLLAND","1.3136659","103.7937884"
"471","ONE FORT","1.3002839","103.8851513"
"472","FORT GARDENS","1.2991257","103.8849422"
"473","FULCRUM","1.2986124","103.8849583"
"474","FOURTH AVENUE RESIDENCES","1.3290351","103.7971629"
"475","SYCAMORE TREE","1.3074603","103.9035"
"476","DUO RESIDENCES","1.3000973","103.8584355"
"477","GAMBIR RIDGE","1.3445133","103.8755613"
"478","CASA ESPANIA","1.3447362","103.8751488"
"479","J GATEWAY","1.3357764","103.7424381"
"480","SELETAR SPRINGS CONDOMINIUM","1.3317097","103.8494335"
"481","TRE RESIDENCES","1.3171777","103.8852209"
"482","CENTRAL GROVE","1.3162085","103.8845669"
"483","CRYSTAL DEW","1.3160289","103.8852032"
"484","SIMS EDGE","1.3163839","103.8879366"
"485","SIMSVILLE","1.3172797","103.8887693"
"486","LE REGAL","1.3124639","103.8800964"
"487","THE ARIZON","1.3138182","103.8865789"
"488","PAVILION SQUARE","1.3129094","103.8797692"
"489","CITY PLAZA","1.3147665","103.8934127"
"490","GREEN COURT","1.3136223","103.8852967"
"491","GILSTEAD COURT","1.3183716","103.8396965"
"492","GILSTEAD TWO","1.3151175","103.8385855"
"493","THE ARMADALE","1.318827","103.8402911"
"494","MORIMASA GARDENS","1.3162486","103.8385848"
"495","GILSTEAD 38","1.318158","103.8392139"
"496","ISUITES @ PALM","1.3613329","103.8784408"
