"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"135575",135575,135575,"TIERRA VUE, ST. PATRICK'S ROAD, Singapore","TIERRA VUE","ST. PATRICK'S ROAD",112020,2500000,"2023-04-01","Strata",118,21186,"Condominium",15,"Outside Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,NA,NA,"2.5m-3m",NA,103.9138516,1.3079044,"East"
"102218",102218,102218,"HILLION RESIDENCES, JELEBU ROAD, Singapore","HILLION RESIDENCES","JELEBU ROAD",119727,1300000,"2024-01-01","Strata",66,19697,"Apartment",23,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2013,88,"1.25m-1.5m","70-100",103.7636634,1.3787715,"West"
"107527",107527,107527,"LANDED HOUSING DEVELOPMENT, RICHARDS AVENUE, Singapore","LANDED HOUSING DEVELOPMENT","RICHARDS AVENUE",90344,3750000,"2021-03-01","Land",266.5,14071,"Terrace House",19,"Outside Central Region","-","Landed",5,0,3,1,1,NA,NA,"3m-4m",NA,103.8816341,1.3619822,"East"
"90874",90874,90874,"Block 997C, BUANGKOK CRES, Singapore","HDB","BUANGKOK CRES",49258,545000,"2023-04-01","Non",93,5860.215054,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2018,94.58333333,"500k-600k","70-100",103.8806254,1.3838642,"East"
"46553",46553,46553,"Block 40, TEBAN GDNS RD, Singapore","HDB","TEBAN GDNS RD",5121,320000,"2022-08-01","Non",77,4155.844156,"Improved HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1978,54.75,"300k-400k","50-70",103.7416108,1.3219153,"West"
"117142",117142,117142,"RESIDENTIAL APARTMENTS, OUTRAM ROAD, Singapore","RESIDENTIAL APARTMENTS","OUTRAM ROAD",103095,1508000,"2022-05-01","Strata",62,24323,"Apartment",3,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"1.5m-2m",NA,103.819836,1.352083,"Central"
"61721",61721,61721,"Block 524B, PASIR RIS ST 51, Singapore","HDB","PASIR RIS ST 51",62883,620000,"2022-07-01","Non",93,6666.666667,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2015,92,"600k-700k","70-100",103.9500421,1.3680077,"East"
"134254",134254,134254,"THE VALES, ANCHORVALE CRESCENT, Singapore","THE VALES","ANCHORVALE CRESCENT",95573,1430000,"2022-05-01","Strata",118,12119,"Executive Condominium",19,"Outside Central Region","01 to 05","Executive Condo",3,0,2,1,1,2014,89,"1.25m-1.5m","70-100",103.8939328,1.3971651,"North"
"113821",113821,113821,"PARC OLYMPIA, FLORA DRIVE, Singapore","PARC OLYMPIA","FLORA DRIVE",103429,655000,"2024-01-01","Strata",46,14239,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2012,87,"600k-700k","70-100",103.9658381,1.3555344,"East"
"107714",107714,107714,"LANDED HOUSING DEVELOPMENT, TELOK KURAU ROAD, Singapore","LANDED HOUSING DEVELOPMENT","TELOK KURAU ROAD",90952,5400000,"2023-12-01","Land",314.8,17154,"Terrace House",15,"Outside Central Region","-","Landed",5,0,3,1,1,NA,NA,"5m-10m",NA,103.9108615,1.3122916,"East"
"87513",87513,87513,"Block 890B, TAMPINES AVE 1, Singapore","HDB","TAMPINES AVE 1",66688,648000,"2022-07-01","Non",93,6967.741935,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2015,92.25,"600k-700k","70-100",103.9338822,1.3464261,"East"
"114959",114959,114959,"PASIR RIS BEACH PARK, PASIR RIS WAY, Singapore","PASIR RIS BEACH PARK","PASIR RIS WAY",89103,5100000,"2021-07-01","Land",579.1,8807,"Semi-Detached House",18,"Outside Central Region","-","Landed",5,6,3,1,1,1874,849,"5m-10m","100+",103.9444144,1.381558,"East"
"137686",137686,137686,"VUE 8 RESIDENCE, PASIR RIS HEIGHTS, Singapore","VUE 8 RESIDENCE","PASIR RIS HEIGHTS",127953,1848888,"2022-11-01","Strata",125,14791,"Condominium",18,"Outside Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,2012,87,"1.5m-2m","70-100",103.9409971,1.3820968,"East"
"128097",128097,128097,"THE GARDENS AT BISHAN, SIN MING WALK, Singapore","THE GARDENS AT BISHAN","SIN MING WALK",105185,1308000,"2022-05-01","Strata",82,15951,"Condominium",20,"Rest of Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,1997,72,"1.25m-1.5m","70-100",103.8315176,1.3645638,"Central"
"84745",84745,84745,"Block 824, JURONG WEST ST 81, Singapore","HDB","JURONG WEST ST 81",26479,448000,"2022-01-01","Non",121,3702.479339,"Improved HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1990,67.33333333,"400k-500k","50-70",103.6951024,1.3471387,"West"
"76327",76327,76327,"Block 689B, WOODLANDS DR 75, Singapore","HDB","WOODLANDS DR 75",56444,580000,"2023-09-01","Non",110,5272.727273,"Premium Apartment HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2004,79.5,"500k-600k","70-100",103.8081174,1.4416879,"North"
"16379",16379,16379,"Block 163, JLN TECK WHYE, Singapore","HDB","JLN TECK WHYE",59076,598000,"2021-04-01","Non",142,4211.267606,"Apartment HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,76,"500k-600k","70-100",103.7576493,1.3799998,"West"
"25486",25486,25486,"Block 221A, SUMANG LANE, Singapore","HDB","SUMANG LANE",50503,550000,"2023-03-01","Non",93,5913.978495,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2018,94.83333333,"500k-600k","70-100",103.8924562,1.4024854,"North"
"130178",130178,130178,"THE MINTON, HOUGANG STREET 11, Singapore","THE MINTON","HOUGANG STREET 11",116047,1530888,"2023-12-01","Strata",103,14863,"Condominium",19,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2007,82,"1.5m-2m","70-100",103.8816471,1.3519797,"East"
"124692",124692,124692,"SUNSHINE MANSIONS, JOO CHIAT PLACE, Singapore","SUNSHINE MANSIONS","JOO CHIAT PLACE",138655,1210000,"2023-05-01","Strata",73,16575,"Apartment",15,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1m-1.25m",NA,103.9077876,1.3149147,"East"
"98232",98232,98232,"ELEVEN @ HOLLAND, HOLLAND LINK, Singapore","ELEVEN @ HOLLAND","HOLLAND LINK",99444,2750000,"2021-03-01","Strata",354,7768,"Semi-Detached House",10,"Core Central Region","01 to 05","Strata",5,1,3,1,1,2010,85,"2.5m-3m","70-100",103.7892453,1.3286014,"West"
"68963",68963,68963,"Block 620, CHOA CHU KANG ST 62, Singapore","HDB","CHOA CHU KANG ST 62",43771,520000,"2023-04-01","Non",108,4814.814815,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1996,72.25,"500k-600k","70-100",103.746659,1.39885,"North"
"125253",125253,125253,"TEACHER'S HOUSING ESTATE, IQBAL AVENUE, Singapore","TEACHER'S HOUSING ESTATE","IQBAL AVENUE",87908,3100000,"2021-09-01","Land",228.5,13567,"Terrace House",26,"Outside Central Region","-","Landed",5,0,3,1,1,1885,860,"3m-4m","100+",103.8310997,1.3804607,"Central"
"1799",1799,1799,"ASTOR GREEN, PINE GROVE, Singapore","ASTOR GREEN","PINE GROVE",123214,1540000,"2023-07-01","Strata",91,16923,"Condominium",21,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1991,66,"1.5m-2m","50-70",103.7767436,1.3178683,"South"
"64011",64011,64011,"Block 549, JURONG WEST ST 42, Singapore","HDB","JURONG WEST ST 42",71274,690000,"2021-11-01","Non",150,4600,"Maisonette HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1986,63.5,"600k-700k","50-70",103.7216459,1.3531391,"West"
"30389",30389,30389,"Block 264F, COMPASSVALE BOW, Singapore","HDB","COMPASSVALE BOW",38091,496000,"2021-02-01","Non",92,5391.304348,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2008,86.66666667,"400k-500k","70-100",103.8936641,1.3815171,"East"
