"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"64354",64354,64354,"Block 551, SERANGOON NTH AVE 3, Singapore","HDB","SERANGOON NTH AVE 3",25915,445000,"2021-08-01","Non",100,4450,"Model A HDB",12,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,1997,75.33333333,"400k-500k","70-100",103.8722463,1.3646732,"East"
"45176",45176,45176,"Block 367, TAMPINES ST 34, Singapore","HDB","TAMPINES ST 34",43004,518888,"2022-09-01","Non",100,5188.88,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1997,73.75,"500k-600k","70-100",103.9601044,1.3559296,"East"
"62543",62543,62543,"Block 531, WOODLANDS DR 14, Singapore","HDB","WOODLANDS DR 14",74226,720000,"2023-09-01","Non",144,5000,"Premium Apartment HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1999,74.91666667,"700k-800k","70-100",103.7916525,1.431816,"North"
"68666",68666,68666,"Block 619, BEDOK RESERVOIR RD, Singapore","HDB","BEDOK RESERVOIR RD",14594,380000,"2024-01-01","Non",68,5588.235294,"New Generation HDB",16,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1981,56.25,"300k-400k","50-70",103.9215479,1.3370403,"East"
"52968",52968,52968,"Block 450, BT PANJANG RING RD, Singapore","HDB","BT PANJANG RING RD",26016,445000,"2022-03-01","Non",101,4405.940594,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,1997,74.41666667,"400k-500k","70-100",103.7645073,1.3864255,"West"
"24570",24570,24570,"Block 217A, SUMANG WALK, Singapore","HDB","SUMANG WALK",48202,540000,"2022-06-01","Non",92,5869.565217,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,94.16666667,"500k-600k","70-100",103.895989,1.4082573,"North"
"117213",117213,117213,"REZI 26, LORONG 26 GEYLANG, Singapore","REZI 26","LORONG 26 GEYLANG",124831,625000,"2022-03-01","Strata",40,15625,"Apartment",14,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"600k-700k",NA,103.8851217,1.3129683,"East"
"94125",94125,94125,"CITYLIFE@TAMPINES, TAMPINES CENTRAL 7, Singapore","CITYLIFE@TAMPINES","TAMPINES CENTRAL 7",96126,1320000,"2021-05-01","Strata",110,12000,"Executive Condominium",18,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2012,87,"1.25m-1.5m","70-100",103.9411425,1.3594864,"East"
"93599",93599,93599,"CHARLTON PARK, CHARLTON LANE, Singapore","CHARLTON PARK","CHARLTON LANE",92717,4388888,"2023-11-01","Land",141.5,31017,"Terrace House",19,"Outside Central Region","-","Landed",4,0,2,1,1,NA,NA,"4m-5m",NA,103.8819989,1.3557472,"East"
"118942",118942,118942,"SANCTUARY GREEN, TANJONG RHU ROAD, Singapore","SANCTUARY GREEN","TANJONG RHU ROAD",112998,2870000,"2023-08-01","Strata",159,18050,"Condominium",15,"Rest of Central Region","11 to 15","Apartment & Condo",4,0,2,1,1,1997,72,"2.5m-3m","70-100",103.8711338,1.2962438,"East"
"96751",96751,96751,"DUKES RESIDENCE, DUKE'S ROAD, Singapore","DUKES RESIDENCE","DUKE'S ROAD",124513,3190000,"2021-11-01","Strata",158,20190,"Apartment",10,"Core Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,NA,NA,"3m-4m",NA,103.8113969,1.3215106,"Central"
"23647",23647,23647,"Block 211D, COMPASSVALE LANE, Singapore","HDB","COMPASSVALE LANE",18928,409999,"2023-03-01","Non",68,6029.397059,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2013,89,"400k-500k","70-100",103.8983491,1.3857253,"East"
"95692",95692,95692,"D'LEEDON, LEEDON HEIGHTS, Singapore","D'LEEDON","LEEDON HEIGHTS",102014,2680000,"2023-02-01","Strata",132,20303,"Condominium",10,"Core Central Region","16 to 20","Apartment & Condo",3,0,2,1,1,2010,85,"2.5m-3m","70-100",103.8038914,1.3155721,"South"
"84422",84422,84422,"Block 817B, KEAT HONG LINK, Singapore","HDB","KEAT HONG LINK",64734,630888,"2021-09-01","Non",112,5632.928571,"Improved HDB",23,"Outside Central Region","16 to 20","Public Housing",3,0,2,1,1,2017,95,"600k-700k","70-100",103.7488088,1.3756913,"West"
"133340",133340,133340,"THE TERRACE, EDGEDALE PLAINS, Singapore","THE TERRACE","EDGEDALE PLAINS",94010,1278888,"2022-10-01","Strata",100,12789,"Executive Condominium",19,"Outside Central Region","16 to 20","Executive Condo",2,0,1,1,1,2013,88,"1.25m-1.5m","70-100",103.9132309,1.3984254,"North"
"72934",72934,72934,"Block 662D, EDGEDALE PLAINS, Singapore","HDB","EDGEDALE PLAINS",70152,680000,"2022-01-01","Non",112,6071.428571,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2017,94.41666667,"600k-700k","70-100",103.9132309,1.3984254,"North"
"84591",84591,84591,"Block 818C, CHOA CHU KANG AVE 1, Singapore","HDB","CHOA CHU KANG AVE 1",44987,525888,"2023-10-01","Non",92,5716.173913,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2017,93,"500k-600k","70-100",103.7449625,1.3767043,"West"
"32761",32761,32761,"Block 28, MARINE CRES, Singapore","HDB","MARINE CRES",81557,843888,"2023-08-01","Non",123,6860.878049,"Standard HDB",15,"Rest of Central Region","6 to 10","Public Housing",3,0,2,1,1,1975,50.58333333,"800k-900k","50-70",103.9120279,1.3053359,"East"
"41721",41721,41721,"Block 333B, ANCHORVALE LINK, Singapore","HDB","ANCHORVALE LINK",51187,555000,"2022-04-01","Non",92,6032.608696,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2015,92.16666667,"500k-600k","70-100",103.8900824,1.3921549,"North"
"112687",112687,112687,"ORCHID PARK CONDO, YISHUN STREET 81, Singapore","ORCHID PARK CONDO","YISHUN STREET 81",137503,1065000,"2023-05-01","Strata",106,10047,"Condominium",27,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1991,66,"1m-1.25m","50-70",103.8351824,1.4124662,"North"
"126891",126891,126891,"THE CITRON RESIDENCES, MARNE ROAD, Singapore","THE CITRON RESIDENCES","MARNE ROAD",136791,775000,"2022-04-01","Strata",40,19375,"Apartment",8,"Rest of Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,NA,NA,"700k-800k",NA,103.8575104,1.3126698,"East"
"136211",136211,136211,"TURQUOISE, COVE DRIVE, Singapore","TURQUOISE","COVE DRIVE",130269,2852170,"2021-09-01","Strata",196,14552,"Condominium",4,"Core Central Region","01 to 05","Apartment & Condo",5,0,3,1,1,2007,82,"2.5m-3m","70-100",103.819836,1.352083,"Central"
"24878",24878,24878,"Block 218B, BOON LAY AVE, Singapore","HDB","BOON LAY AVE",64387,630000,"2022-05-01","Non",114,5526.315789,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2018,95.25,"600k-700k","70-100",103.7103715,1.3470152,"West"
"91180",91180,91180,"BLUWATERS 2, JALAN LOYANG BESAR, Singapore","BLUWATERS 2","JALAN LOYANG BESAR",137262,1880000,"2022-01-01","Strata",223,8430,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",5,0,3,1,1,1938,860,"1.5m-2m","100+",103.9639936,1.3794812,"East"
"122330",122330,122330,"SKYSUITES17, JALAN RAJAH, Singapore","SKYSUITES17","JALAN RAJAH",117661,690000,"2023-02-01","Strata",34,20294,"Apartment",12,"Rest of Central Region","21 to 25","Apartment & Condo",1,0,1,1,1,NA,NA,"600k-700k",NA,103.847826,1.3274396,"Central"
"75970",75970,75970,"Block 686A, CHOA CHU KANG CRES, Singapore","HDB","CHOA CHU KANG CRES",21592,423000,"2022-03-01","Non",91,4648.351648,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2002,79.66666667,"400k-500k","70-100",103.7481519,1.4033017,"North"
"118039",118039,118039,"RIVERPARC RESIDENCE, PUNGGOL DRIVE, Singapore","RIVERPARC RESIDENCE","PUNGGOL DRIVE",95173,1898888,"2023-12-01","Strata",184,10320,"Executive Condominium",19,"Outside Central Region","16 to 20","Executive Condo",4,0,2,1,1,2010,85,"1.5m-2m","70-100",103.9176535,1.3979952,"North"
"130232",130232,130232,"THE MINTON, HOUGANG STREET 11, Singapore","THE MINTON","HOUGANG STREET 11",115999,1320000,"2022-01-01","Strata",103,12816,"Condominium",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2007,82,"1.25m-1.5m","70-100",103.8816471,1.3519797,"East"
"27359",27359,27359,"Block 235, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",10058,355000,"2022-08-01","Non",67,5298.507463,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1977,54.25,"300k-400k","50-70",103.8572732,1.3690195,"East"
"27984",27984,27984,"Block 241, COMPASSVALE WALK, Singapore","HDB","COMPASSVALE WALK",55258,575000,"2023-11-01","Non",101,5693.069307,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1999,74.91666667,"500k-600k","70-100",103.8985709,1.3895044,"East"
"66633",66633,66633,"Block 6, GHIM MOH RD, Singapore","HDB","GHIM MOH RD",16969,396000,"2021-11-01","Non",65,6092.307692,"Improved HDB",3,"Rest of Central Region","11 to 15","Public Housing",3,0,1,1,1,1976,53.75,"300k-400k","50-70",103.7874454,1.3117378,"South"
"105021",105021,105021,"KOVAN RESIDENCES, KOVAN ROAD, Singapore","KOVAN RESIDENCES","KOVAN ROAD",118894,1330000,"2022-05-01","Strata",82,16220,"Condominium",19,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2007,82,"1.25m-1.5m","70-100",103.8850383,1.361154,"East"
"384",384,384,"38 I SUITES, IPOH LANE, Singapore","38 I SUITES","IPOH LANE",134913,9e+05,"2022-07-01","Strata",47,19149,"Apartment",15,"Rest of Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,NA,NA,"900k-1m",NA,103.8961585,1.3118175,"East"
"1185",1185,1185,"AMBER 45, AMBER ROAD, Singapore","AMBER 45","AMBER ROAD",131581,3750000,"2023-10-01","Strata",125,30000,"Apartment",15,"Rest of Central Region","16 to 20","Apartment & Condo",3,0,2,1,1,NA,NA,"3m-4m",NA,103.9015471,1.3024781,"East"
"108544",108544,108544,"LOFT@HOLLAND, HOLLAND ROAD, Singapore","LOFT@HOLLAND","HOLLAND ROAD",126725,858888,"2024-02-01","Strata",31,27706,"Apartment",10,"Core Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"800k-900k",NA,103.7951937,1.310912,"South"
"113010",113010,113010,"PALM ISLES, FLORA DRIVE, Singapore","PALM ISLES","FLORA DRIVE",108896,915000,"2022-09-01","Strata",78,11731,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2011,86,"900k-1m","70-100",103.9642805,1.3565477,"East"
"12690",12690,12690,"Block 134, LOR AH SOO, Singapore","HDB","LOR AH SOO",21806,425000,"2021-07-01","Non",103,4126.213592,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1984,61.75,"400k-500k","50-70",103.8848211,1.3514894,"East"
"33508",33508,33508,"Block 288, YISHUN AVE 6, Singapore","HDB","YISHUN AVE 6",18877,408000,"2023-11-01","Non",84,4857.142857,"Simplified HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1987,62.83333333,"400k-500k","50-70",103.8453055,1.432994,"North"
"55832",55832,55832,"Block 472C, FERNVALE ST, Singapore","HDB","FERNVALE ST",62747,620000,"2021-10-01","Non",113,5486.725664,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2016,94,"600k-700k","70-100",103.880279,1.3982639,"North"
"56859",56859,56859,"Block 483, SEGAR RD, Singapore","HDB","SEGAR RD",33625,478000,"2022-03-01","Non",111,4306.306306,"Premium Apartment HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2002,79.5,"400k-500k","70-100",103.7707991,1.3886269,"West"
"45579",45579,45579,"Block 377, BT BATOK ST 31, Singapore","HDB","BT BATOK ST 31",30832,465000,"2023-05-01","Non",67,6940.298507,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2019,95,"400k-500k","70-100",103.749039,1.3581686,"West"
"11411",11411,11411,"Block 128B, CANBERRA ST, Singapore","HDB","CANBERRA ST",26272,445000,"2024-02-01","Non",68,6544.117647,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2018,93.75,"400k-500k","70-100",103.8323487,1.4482209,"North"
"111750",111750,111750,"NV RESIDENCES, PASIR RIS GROVE, Singapore","NV RESIDENCES","PASIR RIS GROVE",128484,650000,"2023-04-01","Strata",46,14130,"Condominium",18,"Outside Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2008,83,"600k-700k","70-100",103.9440066,1.3718385,"East"
"129250",129250,129250,"THE LAKESHORE, JURONG WEST STREET 41, Singapore","THE LAKESHORE","JURONG WEST STREET 41",105894,1180000,"2022-12-01","Strata",86,13721,"Condominium",22,"Outside Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,2002,77,"1m-1.25m","70-100",103.819836,1.352083,"Central"
"3019",3019,3019,"BELLEWATERS, ANCHORVALE CRESCENT, Singapore","BELLEWATERS","ANCHORVALE CRESCENT",96480,1300000,"2021-09-01","Strata",118,11017,"Executive Condominium",19,"Outside Central Region","11 to 15","Executive Condo",3,0,2,1,1,2013,88,"1.25m-1.5m","70-100",103.8910415,1.3993024,"North"
"53371",53371,53371,"Block 452A, BT BATOK WEST AVE 6, Singapore","HDB","BT BATOK WEST AVE 6",61487,610000,"2023-04-01","Non",93,6559.139785,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2019,95,"600k-700k","70-100",103.7429384,1.3534631,"West"
"82644",82644,82644,"Block 801D, KEAT HONG CL, Singapore","HDB","KEAT HONG CL",49234,545000,"2023-02-01","Non",92,5923.913043,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2018,94,"500k-600k","70-100",103.7425722,1.3744652,"West"
"14837",14837,14837,"Block 15, UPP BOON KENG RD, Singapore","HDB","UPP BOON KENG RD",24978,440000,"2021-08-01","Non",88,5000,"Improved HDB",15,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,1975,52.58333333,"400k-500k","50-70",103.8720873,1.314381,"East"
"35902",35902,35902,"Block 30, TEBAN GDNS RD, Singapore","HDB","TEBAN GDNS RD",19729,413000,"2023-03-01","Non",99,4171.717172,"New Generation HDB",22,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1981,57.41666667,"400k-500k","50-70",103.7416108,1.3219153,"West"
"87916",87916,87916,"Block 8A, UPP BOON KENG RD, Singapore","HDB","UPP BOON KENG RD",57923,590000,"2022-01-01","Non",70,8428.571429,"Premium Apartment HDB",1,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,2017,94.58333333,"500k-600k","70-100",103.8720873,1.314381,"East"
"2347",2347,2347,"BARTLEY RESIDENCES, LORONG HOW SUN, Singapore","BARTLEY RESIDENCES","LORONG HOW SUN",110446,1820000,"2023-04-01","Strata",99,18384,"Apartment",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2011,86,"1.5m-2m","70-100",103.881214,1.3429598,"East"
"91254",91254,91254,"BOATHOUSE RESIDENCES, UPPER SERANGOON VIEW, Singapore","BOATHOUSE RESIDENCES","UPPER SERANGOON VIEW",123866,1160000,"2021-11-01","Strata",93,12473,"Condominium",19,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2011,86,"1m-1.25m","70-100",103.9028784,1.3758004,"East"
"93378",93378,93378,"CEYLON CREST, CEYLON ROAD, Singapore","CEYLON CREST","CEYLON ROAD",139752,2220000,"2021-09-01","Strata",179,12402,"Apartment",15,"Rest of Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,NA,NA,"2m-2.5m",NA,103.9026105,1.3060932,"East"
"54466",54466,54466,"Block 462, CRAWFORD LANE, Singapore","HDB","CRAWFORD LANE",20084,415000,"2023-01-01","Non",60,6916.666667,"Improved HDB",1,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1981,57.83333333,"400k-500k","50-70",103.8624671,1.3050562,"East"
"76895",76895,76895,"Block 694D, WOODLANDS DR 62, Singapore","HDB","WOODLANDS DR 62",51597,556000,"2023-04-01","Non",92,6043.478261,"Model A HDB",25,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2018,94.41666667,"500k-600k","70-100",103.8053824,1.4393617,"North"
"102811",102811,102811,"HOLLLAND GROVE PARK, JALAN KEBAYA, Singapore","HOLLLAND GROVE PARK","JALAN KEBAYA",91887,7300000,"2022-11-01","Land",328.6,22215,"Semi-Detached House",10,"Core Central Region","-","Landed",5,1,3,1,1,NA,NA,"5m-10m",NA,103.7795862,1.3145115,"South"
"101087",101087,101087,"HAIG ELEVEN, HAIG AVENUE, Singapore","HAIG ELEVEN","HAIG AVENUE",112222,1125000,"2021-08-01","Strata",75,15000,"Apartment",15,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1m-1.25m",NA,103.8995287,1.3084616,"East"
"97728",97728,97728,"ECOPOLITAN, PUNGGOL WALK, Singapore","ECOPOLITAN","PUNGGOL WALK",97044,1224000,"2021-09-01","Strata",106,11547,"Executive Condominium",19,"Outside Central Region","01 to 05","Executive Condo",2,0,1,1,1,2012,87,"1m-1.25m","70-100",103.9004692,1.4052147,"North"
"84340",84340,84340,"Block 816B, KEAT HONG LINK, Singapore","HDB","KEAT HONG LINK",37852,495000,"2022-09-01","Non",92,5380.434783,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2017,94,"400k-500k","70-100",103.7488088,1.3756913,"West"
"85099",85099,85099,"Block 837, JURONG WEST ST 81, Singapore","HDB","JURONG WEST ST 81",35538,485000,"2022-05-01","Non",127,3818.897638,"Improved HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1993,70.16666667,"400k-500k","70-100",103.6951024,1.3471387,"West"
"23471",23471,23471,"Block 211, BOON LAY PL, Singapore","HDB","BOON LAY PL",5264,320000,"2023-11-01","Non",65,4923.076923,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1976,52,"300k-400k","50-70",103.7128869,1.3468732,"West"
"27840",27840,27840,"Block 24, MARSILING DR, Singapore","HDB","MARSILING DR",2676,298000,"2022-08-01","Non",67,4447.761194,"New Generation HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1977,53.91666667,"200k-300k","50-70",103.7750429,1.4422643,"North"
"74036",74036,74036,"Block 671A, YISHUN AVE 4, Singapore","HDB","YISHUN AVE 4",20446,418000,"2022-04-01","Non",68,6147.058824,"Model A HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2018,94.75,"400k-500k","70-100",103.8406564,1.4185912,"North"
"99510",99510,99510,"FORESQUE RESIDENCES, PETIR ROAD, Singapore","FORESQUE RESIDENCES","PETIR ROAD",104904,1813000,"2023-08-01","Strata",115,15765,"Condominium",23,"Outside Central Region","06 to 10","Apartment & Condo",3,0,2,1,1,2011,86,"1.5m-2m","70-100",103.776308,1.3693026,"West"
"121533",121533,121533,"SIMS URBAN OASIS, SIMS DRIVE, Singapore","SIMS URBAN OASIS","SIMS DRIVE",105443,9e+05,"2022-11-01","Strata",52,17308,"Condominium",14,"Rest of Central Region","16 to 20","Apartment & Condo",1,0,1,1,1,2014,89,"900k-1m","70-100",103.8806149,1.3189876,"East"
"112890",112890,112890,"PALM GARDENS, HONG SAN WALK, Singapore","PALM GARDENS","HONG SAN WALK",116325,1319000,"2023-11-01","Strata",113,11673,"Condominium",23,"Outside Central Region","06 to 10","Apartment & Condo",3,0,2,1,1,1996,71,"1.25m-1.5m","70-100",103.7471265,1.3785136,"West"
"6157",6157,6157,"Block 109, BISHAN ST 12, Singapore","HDB","BISHAN ST 12",70754,685000,"2022-07-01","Non",105,6523.809524,"Model A HDB",20,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,1985,62.5,"600k-700k","50-70",103.8508562,1.3464862,"East"
"114497",114497,114497,"PARC VISTA, CORPORATION ROAD, Singapore","PARC VISTA","CORPORATION ROAD",124045,1150000,"2024-02-01","Strata",99,11616,"Condominium",22,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,1995,70,"1m-1.25m","50-70",103.7174016,1.344279,"West"
"14639",14639,14639,"Block 149, SIMEI ST 1, Singapore","HDB","SIMEI ST 1",52036,560000,"2021-08-01","Non",122,4590.163934,"Improved HDB",18,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1988,65.66666667,"500k-600k","50-70",103.9543872,1.3455145,"East"
"117551",117551,117551,"RITZ REGENCY, IPOH LANE, Singapore","RITZ REGENCY","IPOH LANE",140131,1978888,"2022-08-01","Strata",118,16770,"Apartment",15,"Rest of Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,NA,NA,"1.5m-2m",NA,103.8951508,1.3115028,"East"
"25963",25963,25963,"Block 226, BISHAN ST 23, Singapore","HDB","BISHAN ST 23",71101,688000,"2023-10-01","Non",105,6552.380952,"Model A HDB",20,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,1992,67.58333333,"600k-700k","50-70",103.8465231,1.3570608,"Central"
"112216",112216,112216,"ONE DRAYCOTT, DRAYCOTT PARK, Singapore","ONE DRAYCOTT","DRAYCOTT PARK",102573,2600000,"2024-01-01","Strata",74,35135,"Apartment",10,"Core Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,NA,NA,"2.5m-3m",NA,103.831154,1.3100252,"South"
